Query,CFPQ_size,Time(s)
0,,1171.5576896022988
1,,1326.1614021022915
2,,1161.2492252072682
3,582929.0,1179.9786478377207
4,,1128.9561236322647
5,,1144.366249692614
6,,1124.5297204256153
0,,1145.227348891585
1,,1340.3486360365257
2,,1176.4410518287657
3,582929.0,1178.1660398081488
4,,1136.8482263120716
5,,1115.6933507654167
6,,1170.2285733029282
0,,1162.7472385067138
1,,1321.3583708338222
2,,1168.7698987477913
3,582929.0,1162.7802088013643
4,,1140.7899843928058
5,,1163.143160885439
6,,1149.1643942965272
